ID,Source,Source_Paper_ID,Context
178,Athar_2011,P06-1121,"We presented some theoretical arguments for not limiting extraction to minimal rules, validated them on concrete examples, and presented experiments showing that contextually richer rules provide a 3.63 BLEU point increase over the minimal rules of (Galley et al., 2004)."
179,Athar_2011,P04-3002,"In statistical translation models (Brown et al., 1993), only one-to-one and more-to-one word alignment links can be found."
180,Athar_2011,N09-1003,"We want to note that our WordNetbased method outperforms that of Hughes and Ramage (2007), which uses a similar method."
181,Athar_2011,D07-1055,"We will introduce new training criteria based on maximum likelihood estimation and expected loss computation. We will show that some achieve significantly better results than the standard minimum error rate training of (Och, 2003)."
182,Athar_2011,P05-1023,"When compared to other kernel methods, our approach performs better than those based on the Tree kernel (Collins and Duffy, 2002; Collins and Roark, 2004), and is only 0.2% worse than the best results achieved by a kernel method for parsing (Shen et al., 2003; Shen and Joshi, 2004)."
183,Athar_2011,N03-1033,"Whereas Ratnaparkhi (1996) used feature support cutoffs and early stopping to stop overfitting of the model, and Collins (2002) contends that including low support features harms a maximum entropy model, our results show that low support features are useful in a regularized maximum entropy model."
184,Athar_2011,P04-1013,"While both (Johnson, 2001) and (Klein and Manning, 2002) propose models which use the parameters of the generative model but train to optimize a discriminative criteria, neither proposes training algorithms which are computationally tractable enough to be used for broad coverage parsing."
186,Athar_2011,W08-0404,"While minimum error training (Och, 2003) has by now become a standard tool for interpolating a small number of aggregate scores, it is not well suited for learning in high-dimensional feature spaces."
187,Athar_2011,P07-1051,"While most parsing methods are currently supervised or semi-supervised (McClosky et al. 2006; Henderson 2004; Steedman et al. 2003), they depend on hand-annotated data which are difficult to come by and which exist only for a few languages."
189,Athar_2011,E09-3005,"While SCL has been successfully applied to PoS tagging and Sentiment Analysis (Blitzer et al., 2006; Blitzer et al., 2007), its effectiveness for parsing was rather unexplored."
192,Athar_2011,W09-1908,"While the amount of parallel data required to build such systems is orders of magnitude smaller than corresponding phrase based statistical systems (Koehn et al., 2003), the variety of linguistic annotation required is greater."
193,Athar_2011,C04-1051,"While the idea of exploiting multiple news reports for paraphrase acquisition is not new, previous efforts (for example, Shinyama et al. 2002; Barzilay and Lee 2003) have been restricted to at most two news sources."
194,Athar_2011,W07-2218,"While the model of (Matsuzaki et al., 2005) significantly outperforms the constrained model of (Prescher, 2005), they both are well below the state-of-the-art in constituent parsing."
195,Athar_2011,W99-0622,"While these approaches have had some success to date (Collins, 1997; Charniak, 1997a), their usability as parsers in systems for natural language understanding is suspect."
196,Athar_2011,P07-1056,"While we do not have a direct comparison, we note that Turney (2002) performs worse on movie reviews than on his other datasets, the same type of data as the polarity dataset."
197,Athar_2011,W03-2907,"While we have shown an increase in performance over a purely syntactic baseline model (the algorithm of (Brown et al., 1992)), there are a number of avenues to pursue in extending this work."
198,Athar_2011,E99-1023,"With all but two formats IBI-IG achieves better FZ=l rates than the best published result in (Ramshaw and Marcus, 1995)."
199,Athar_2011,C08-1127,"With these linguistic annotations, we expect the LABTG to address two traditional issues of standard phrase-based SMT (Koehn et al., 2003) in a more effective manner."
202,Athar_2011,P06-2014,Wu (1997) provides anecdotal evidence that only incorrect alignments are eliminated by ITG constraints.
203,CFC,9806019,Our assessment is supported by comparing our results to those of Core and Allen 1997 who used the unadapted DRI manual -- see Table .
204,CFC,9605014,Our best disambiguation result obtained using this last combined method somewhat improves the accuracy reported in Li and Abe 1995 .
207,CFC,9907006,The IB1-IG algorithm has been able to improve the best reported F rates for a standard data set ( 92.37 versus Ramshaw and Marcus 1995 ' s 92.03 ) .
209,CFC,9502018,"This approach improves upon earlier work on discourse structure such as Lascarides and Asher 1991 and Kehler 1994a in reducing the number of possible ambiguities ; it is also more precise than the Kamp / Hinrichs / Partee approach in that it takes into account ways in which the apparent defaults can be overridden and differentiates between events and activities, which behave differently in narrative progression ."
212,Athar_2011,W06-3601,"It is helpful to compare this approach with recent efforts in statistical MT. Phrase-based models (Koehn et al., 2003; Och and Ney, 2004) are good at learning local translations that are pairs of (consecutive) sub-strings, but often insufficient in modeling the reorderings of phrases themselves, especially between language pairs with very different word-order."
213,CFC,9410032,"A more recent attempt can be found in THINKER Edgar and Pelletier 1993, which implements several interesting but isolated proof presentation strategies, without giving a comprehensive underlying model ."
217,CFC,9405033,"Previous comparisons have either focussed on context-free ( CF ) or augmented CF parsing Tomita 1987, Billot and Lang 1989, or have used relatively small, limited-coverage unification grammars and lexicons Shann 1989, Bouma and van Noord 1993, Maxwell and Kaplan 1993 ."
221,CFC,9502005,Gerdemann 1991 partly overcame this problem by incorporating a head-driven strategy into Earley 's algorithm .
222,CFC,9808008,"Other normal form parsers, e.g. that of Hepple and Morrill Hepple and Morrill 1989, have the same problem ."
223,Athar_2011,N06-1022,"Most recently, McDonald et al. (2005) have implemented a dependency parser with good accuracy (it is almost as good at dependency parsing as Charniak (2000)) and very impressive speed (it is about ten times faster than Collins (1997) and four times faster than Charniak (2000))."
227,CFC,9408014,"Although such an approach was applied with some success in a limited-domain system translating logical forms into database queries Rayner and Alshawi 1992, it is likely to be impractical for language translation with tens of thousands of sense predicates and related axioms ."
231,CFC,9905008,"Resnik (1993) initiated research into the automatic acquisition of semantic selectional restrictions. Ribas (1994) presented an approach which takes into account the syntactic position of the elements whose semantic relation is to be acquired. However, those and most of the following approaches require as a prerequisite a fixed taxonomy of semantic relations. This is a problem because (i) entailment hierarchies are presently available for few languages, and (ii) we regard it as an open question whether and to what degree existing designs for lexical hierarchies are appropriate for representing lexical meaning."
232,Concit,C12-2103,"Kaplan et al. (2009) investigate coreferences and citations as well, but only at a very small scale (4 articles from the Computational Linguistics journal)"
235,Athar_2011,H05-1024,"One of the major problems with the IBM models (Brown et al., 1993) and the HMM models (Vogel et al., 1996) is that they are restricted to the alignment of each source-language word to at most one targetlanguage word."
236,Concit,W09-3603,"The Afirst experiments in Argumentative Zoning used Native Bayes (NB) classifiers (Kupiec et al., 1995; Teufel, 1999) which assume conditional independence of the features. However, this assumption is rarely true for the kinds of rich feature representations we want to use for most NLP tasks."
237,Concit,W09-3603,"Table 5 presents the subtractive analysis to determine the impact of different feature types. From this we can see that the n-grams (unigrams and bi-grams) have by far the largest impact - and neither of these feature types was directly implemented by Teufel and Moens (2002). The next most important features are the first few words (again a unigram type feature), length and the section number. The Markov history features also have an impact of just over 1%."
238,Concit,N04-1042,"These SVM classifiers can handle many non-independent features. However, for this sequence labeling problem, Han et al. (2003) work in a two stages process: first classifying each line independently to assign it label, then adjusting these labels based on an additional classifier that examines larger windows of labels. Solving the information extraction problem in two steps looses the tight interaction between state transitions and observations."
240,Concit,C10-1008,"by taking a semi-supervised graph-based learning approach (Goldberg and Zhu, 2006); and by using ""optimal stacks"" of SVMs (Koppel and Schler, 2006). However, each of these methods have shortcomings (Section 2)."
241,Concit,W04-0509,"The identification of named entities (NEs) in the biomedical area, such as proteins and CELLS, has been extensively explored; e.g., Lee et al. (2003), Shen et al. (2003). However, we are not aware of any satisfactory solution that focuses on the recognition of semantic classes such as medication and disease."
242,Concit,W04-0509,"Pang et al. (2002) did not compare the result of using and not using the negation context effect, so it is not clear how much it improved their result"
243,Concit,L04-1294,"The TCM scheme offers two zone classes which are relevant here, CONTRAST and BASIS. They are, however, used for rather restricted purposes: they identify the author's (positive or negative) attitudes toward other work as well as the status of the author's work in research paradigms (Teufel & Moens, 2002). We need to cover a wider range of relations concerning data and findings Nested annotation"
246,Athar_2011,C04-1005,"Statistical translation models (Brown, et al. 1993) only allow word to word and multi-word to word alignments."
247,Concit,W06-1312,"Other content citation analysis research which is relevant to our work concentrates on relating textual spans to authors descriptions of other work. For example, in O Connor s (1982) experiment, citing statements (one or more sentences referring to other researchers work) were identified manually. The main problem encountered in that work is the fact that many instances of citation context are linguistically unmarked."
249,Concit,W06-1312,"Hidden Markov Models (HMMs) (Huang et al. 1990) offer a powerful statistical approach to this problem, though it is unclear how they could be used to recognise the units of interest to phonologists"
251,Concit,W06-1312,"Work on applying machine learning techniques for automatic citation classification is currently underway (Teufel et al., 2006); the agreement of one annotator and the system is currently K=.57, leaving plenty of room for improvement in comparison with the human annotation results presented here"
252,Concit,L04-1402,"We use such a three-way classification because finer-grained distinctions for IS (e.g. (Prince, 1981; Lambrecht, 1994)) have proved hard to distinguish reliably in practice (see Section 4)."
254,Concit,P06-1133,"Practically, bag-of-word representation has been very effective in many tasks, including text categorization (Sebastiani, 2002) and information retrieval (Lewis, 1998). However, the close subjectivity ratio doesn't mean that subjectivity can never help identify document collections of opposing perspectives."
255,Concit,W12-4305,"The literature boom in the life sciences over the past few years has sparked increasing interest into text mining tools, which facilitate the automatic extraction of useful knowledge from text (Ananiadou et al., 2006; Ananiadou & McNaught, 2006; Zweigenbaum et al., 2007; Cohen & Hunter, 2008). Most of these tools have focussed on entity recognition and relation extraction and with few exceptions, e.g., (Hyland, 1996; Light et al., 2004; Sandor, 2007; Vincze et al., 2008), do not take into account the discourse context of the knowledge extracted. However, failure to take this context into account results in the loss of information vital for the correct interpretation of extracted knowledge,"
256,Concit,W05-0408,"As opposed to Turney (2002), we do not use the web as a resource to find associations, rather we apply the method directly to in-domain data. This has the disadvantage of not being able to apply the classification to any arbitrary domain."
257,Athar_2011,W05-0211,"Collinss (Bikels) Parser Collinss statistical parser (CBP; (Collins, 1997)), improved by Bikel (Bikel, 2004), is based on the probabilities between head-words in parse trees."
258,Concit,W14-6902,"Some of the remaining resources above mentioned do contain alignments between all combinations of language pairs; however the quality of these alignments is questionable given that the alignment method utilized for most of them is solely based on sentence length information (Varga et al., 2005)."
260,Concit,N12-1073,The work of Och et al (2004) is perhaps the bestknown study of new features and their impact on translation quality.
262,Concit,N12-1073,"the only recent work on citation sentiment detection using a relatively large corpus is by Athar (2011). However, this work does not handle citation context."
265,Concit,N12-1073,"For implicit citation extraction, Kaplan et al. (2009) explore co-reference chains for citation extraction using a combination of co-reference resolution techniques. However, their corpus consists of only 94 sentences of citations to 4 papers which is likely to be too small to be representative"
266,Concit,N12-1073,"The most relevant work is by Qazvinian and Radev (2010) who extract only the non-explicit citations for a given paper. They model each sentence as a node in a graph and experiment with various window boundaries to create edges between neighbouring nodes. However, their dataset consists of only 10 papers and their annotation scheme differs from our four-class annotation as they do not deal with any sentiment."
267,Concit,C12-1075,"For supervised methods, summarization is often regarded as a classification task or a sequence labeling task at sentence level, and many supervised learning algorithms have been investigated including Hidden Markov Models (Conroy and O'leary, 2001), Support Vector Regression (You et al., 2011), Factor Graph Model (Yang et al., 2011), etc. However, such a supervised learning paradigm often requires a large amount of labeled data, which are not available in most cases."
269,Concit,C12-1075,"Besides, in the existing studies, personalized summarization is often conducted with the help of a query (Sun, 2008; You et al., 2011) or a static user profile (Diaz and Gervâs, 2007), and most studies only use the local content from target document(s) or the user profile, with little attention paid to the rich social contextual information affiliated with them."
270,Concit,C12-1075,"In this case, existing tag-based summarization methods will fail to produce a personalized summary (Boydell and Smyth, 2007; Zhu et al., 2009), since the user-related tags may be absent for that document."
272,Concit,L14-1027,"We also experimented with statistical ranking algorithms, such as the ranking SVM (Joachims, 2002), but the result was unstable, because currently we can only obtain a very small number of training examples for statistical rerankers."
273,Concit,P09-1027,"Though pilot studies have been performed to make use of English corpora for subjectivity classification in other languages (Mihalcea et al., 2007; Banea et al., 2008), the methods are very straightforward by directly employing an inductive classifier (e.g. SVM, NB), and the classification performance is far from satisfactory because of the language gap between the original language and the translated language."
274,Concit,P09-1027,"The above two methods have been used in (Banea et al., 2008) for Romanian subjectivity analysis, but the experimental results are not very promising."
275,Concit,C04-1071,"This means that the approach for SA should be switched from the rather shallow analysis techniques used for text mining (Hearst, 1999; Nasukawa and Nagano, 2001), where some errors can be treated as noise, into deep analysis techniques such as those used for machine translation (MT) where all of the syntactic and semantic phenomena must be handled."
277,Concit,W12-4303,"State-of-the-art citations identification mechanisms focus either on detecting explicit citations i.e. those that consist of either the author names and the year of publication or bracketed numbers only, or include a small sentence window around the explicit citation as input text (Councill et al., 2008; Radev et al., 2009; Ritchie et al., 2008). The assumption behind this approach is that all related mentions of the paper would be concentrated in the immediate vicinity of the anchor text. However, this assumption does not generally hold true (Teufel, 2010; Sugiyama et al., 2010)."
279,Athar_2011,N06-1058,"This can explain why previous attempts to use WordNet for generating sentence-level paraphrases (Barzilay and Lee, 2003; Quirk et al., 2004) were unsuccessful."
280,Concit,W12-4303,"Current work on citation sentiment detection works under the assumption that the sentiment present in the citation sentence represents the true sentiment of the author towards the cited paper (Athar, 2011; Piao et al., 2007; Pham and Hoffmann, 2004). This assumption is so dominant because current citation identification methods (Councill et al., 2008; Ritchie et al., 2008; Radev et al., 2009) can readily identify the citation sentence, whereas it is much harder to determine the relevant context. However, this assumption most certainly does not hold true when the citation context spans more than one sentence."
281,Concit,W12-4303,"Church et al. (1989), Wettler & Rapp (1989) and Church & Hanks (1990) describe algorithms which do this. However, the validity of these algorithms has not been tested by systematic comparisons with associations ofhuman subjects."
283,Concit,W12-4303,"A common approach for sentiment detection is to use a labelled lexicon to score sentences (Hatzivas-siloglou and McKeown, 1997; Turney, 2002; Yu and Hatzivassiloglou, 2003). However, such approaches have been found to be highly topic dependent (Engstrom, 2004; Gamon and Aue, 2005; Blitzer et al., 2007), which makes the creation of a general sentiment classifier a difficult task."
285,Concit,W12-4303,"Some other recent work has focused on the problem of implicit citation extraction (Kaplan et al., 2009; Qazvinian and Radev, 2010). Kaplan et al. (2009) explore co-reference chains for citation extraction using a combination of co-reference resolution techniques (Soon et al., 2001; Ng and Cardie, 2002). However, the corpus that they use consists of only 94 citations to 4 papers and is likely to be too small to be representative."
286,Concit,W12-4303,"For citation extraction, the most relevant work is by Qazvinian and Radev (2010) who proposed a framework of Markov Random Fields to extract only the non-explicit citations for a given paper. They model each sentence as a node in a graph and experiment with various window boundaries to create edges between neighbouring nodes weighted by lexical similarity between nodes. However, their dataset consists of only 569 citations from 10 papers and their annotation scheme deals with neither acronyms nor sentiment."
287,Concit,W07-1530,"An implementation of the extant sdrt (Asher and Lascarides, 2003) glue logic for building discourse structures is insufficient to deal with open domain text,"
288,Concit,W07-1530,"It has been difficult to identify all and only those cases where a token functions as a discourse connective, and in many cases, the syntactic analysis in the Penn TreeBank (Marcus et al., 1993) provides no help."
292,Concit,W99-0311,"Researchers developing corpus resources for summarisation work have often defined their own gold standard, relying on their own intuitions (see, e.g. Luhn, 1958; Edmundson, 1969) or have used abstracts supplied by authors or by professional abstractors as their gold standard (e.g. Kupiec et al., 1995; Mani and Bloedorn, 1998). Neither approach is very satisfactory."
295,Concit,W99-0311,"This result is clearly in contrast to studies which conclude that humans are not very reliable at this kind of task (Rath et al., 1961). We attribute this difference to a difference in our instructions. Whereas the subjects in Rath et al.'s experiment were asked to look for the most relevant sentences, our annotators had to look for specific argumentative roles which seems to have eased the task. In addition, our guidelines give very specific instructions for ambiguous cases"
296,Concit,D13-1097,"Although the explanatory relation extraction task has been studied from the view of linguistic and discourse representation by existing works (Carston, 1993; Lascarides and Asher, 1993), the automatic extraction task is still an open question."
300,Athar_2011,W93-0301,"Compared with other word alignment algorithms (Brown et al., 1993; Gale and Church, 1991a), word_align does not require sentence alignment as input, and was shown to produce useful alignments for small and noisy corpora."
301,Concit,C02-1054,"There are other reports on the slowness of SVM classifiers. Another SVM-based NE recognizer (Yamada and Matsumoto, 2001) is 0.8 sentences/sec on a Pentium III 933 MHz PC. An SVM-based part-of-speech (POS)
 tagger (Nakagawa et al., 2001) is 20 tokens/sec on an Alpha 21164A 500 MHz processor. It is difficult to use such slow systems in practical applications."
303,Concit,C02-1054,"Although his system attained F = 83.7% for 5-fold cross-validation of the CRL data (Yamada and Matsumoto, 2001), our system attained 86.8%."
304,Concit,P06-2079,"There have been several attempts at extracting features for polarity classification from dependency parses, but most focus on extracting specific types of information such as adjective-noun relations (e.g., Dave et al. (2003), Yi et al. (2003)) or nouns that enjoy a dependency relation with a polarity term (e.g., Popescu and Et-zioni (2005))."
306,Concit,P06-2079,"Wilson et al. (2005) have also manually tagged a list of terms with their polarity, but this list is not publicly available."
309,Concit,D07-1040,"Note that although the MEAD distribution also includes an optional feature calculated using the LexRank graph-based algorithm (Erkan and Radev, 2004), this feature could not be used since it takes days to compute for very long documents such as ours, and thus its application was not tractable."
310,Concit,D07-1040,"Since the method was originally developed for spoken lecture segmentation, we were not able to use the same parameters as suggested in (Malioutov and Barzilay, 2006)."
311,Athar_2011,E09-1048,"Since the test data of (Svore et al., 2007) is not publicly available we were unable to carry out a more detailed comparison."
314,Concit,W12-3206,"Krippendorff's ordinal a (Hayes and Krippendorff, 2007) was 0.66 (1,000 bootstrapped samples) indicating a modest degree of agreement, at which, however, tentative conclusions can be drawn."
315,Concit,H05-1043,"We compare opine with the most relevant previous review-mining system (Hu and Liu, 2004) and find that opine's precision on the feature extraction task is 22% better though its recall is 3% lower on Hu's data sets."
316,Concit,H05-1043,"On the 5 datasets in (Hu and Liu, 2004), opine's precision is 22% higher than Hu's at the cost of a 3% recall drop."
318,Concit,H05-1043,"The review-mining work most relevant to our research is that of (Hu and Liu, 2004) and (Kobayashi et al., 2004). Both identify product features from reviews, but opine significantly improves on both."
319,Concit,H05-1043,"(Hu and Liu, 2004) doesn't assess candidate features, so its precision is lower than opine's. (Kobayashi et al., 2004) employs an iterative semi-automatic approach which requires human input at every iteration. Neither model explicitly addresses composite (feature of feature) or implicit features."
320,Concit,H05-1043,"Other systems (Morinaga et al., 2002; Kushal et al., 2003) also look at Web product reviews but they do not extract opinions about particular product features."
321,Concit,H05-1043,"Most recently, (Takamura et al., 2005) reports on the use of spin models to infer the semantic orientation of words. The paper's global optimization approach and use of multiple sources of constraints on a word's semantic orientation is similar to ours, but the mechanism differs and they currently omit the use of syntactic information."
324,Concit,P08-1099,"We achieve competitive performance in comparison to alternate model families, in particular generative models such as MRFs trained with EM (Haghighi and Klein, 2006) and HMMs trained with soft constraints (Chang et al., 2007)."
326,Concit,C12-1104,"This largely differentiates our system from existing studies, such as the work of Sharifi et al. (2010), which uses only tweet-level content features (e.g., keywords) to select representative sentences. http://www.twitter.com"
327,Concit,C12-1104,"Multi-document summarization has been well studied, and a couple of systems have been developed.We test LexRank (Erkan and Radev, 2004), a state-of-the-art summarization system and find a sharp drop of ROUGE-2, from 0.3894 on news to 0.2871 on tweets"
329,Concit,P04-1085,"Our accuracy for classifying agreements and disagreements is 86.9%, which is a 4.9% improvement over (Hillard et al., 2003)."
330,Concit,P04-1085,"First, the analysis of our results shows that with our three local feature sets only, we obtain substantially better results than (Hillard et al., 2003)."
331,Athar_2011,P09-1078,"Moreover, Ng et al. (2006) examine the FS of the weighted log-likelihood ratio (WLLR) on the movie review dataset and achieves an accuracy of 87.1%, which is higher than the result reported by Pang and Lee (2004) with the same dataset."
332,Athar_2011,W00-1308,"A maximum entropy approach has been applied to part-of-speech tagging before (Ratnaparkhi 1996), but the approach's ability to incorporate nonlocal and non-HMM-tagger-type evidence has not been fully explored."
333,Concit,D07-1069,"In (Hall, 1996), the author found that serving on a committee can positively predict participation in Congress, but that seniority was not a good predictor. His measure only looked at six bills in three committees, so his method is by far not as comprehensive as the one that we present here"
334,Concit,N13-1113,"Previous work on sentence-based classification of scientific literature according to categories of information structure has mostly used feature-based machine learning, such as Support Vector Machines (SVM) and Conditional Random Fields (CRF) (e.g. (Teufel and Moens, 2002; Lin et al., 2006; Hiro-hata et al., 2008; Shatkay et al., 2008; Guo et al., 2010; Liakata et al., 2012)). Unfortunately, the performance of these methods is rather limited, as indicated e.g. by the relatively low numbers reported by Liakata et al. (2012)"
335,Concit,N13-1113,"Because manual annotation is prohibitively expensive, approaches based on light supervision are now emerging for the task, including those based on active learning and self-training (Guo et al., 2011) and unsupervised methods (Varga et al., 2012; Reichart and Korhonen, 2012). Unfortunately, these approaches do not reach the performance level of fully supervised models, let alone exceed it."
336,Concit,N13-1113,"SVM and MaxEnt have proved successful in information structure analysis (e.g. (Merity et al., 2009; Guo et al., 2011)) but, to the best of our knowledge, their semi-supervised versions have not been used for AZ of full articles."
338,Concit,U09-1015,"There were also a number of complications when comparing our system with the system described by Dakka and Cucerzan (2008): they used a different, and substantially smaller, hand-labelled data set; they did not specify how they handled disambiguation pages; they provided no results for experiments using only hand-labelled data, instead incorporating training data produced via their semi-automated approach into the final results; and they neglected to report the final size of the training data produced by their semi-automated annotation. However, these two systems provided the closest benchmarks for comparison."
339,Concit,I08-1039,"Kennedy and Inkpen (2006) and Hu and Liu (2004) proposed to use a manually-constructed list of polarity-shifters. However, it has limitations due to the diversity of expressions."
340,Concit,J13-2005,"Supervised semantic parsers (Zelle and Mooney, 1996; Tang and Mooney, 2001; Ge and Mooney, 2005; Zettlemoyer and Collins, 2005; Kate and Mooney, 2007; Zettlemoyer and Collins, 2007; Wong and Mooney, 2007; Kwiatkowski et al., 2010) rely on manual annotation of logical forms, which is expensive."
341,Concit,J13-2005,"On the other hand, existing unsupervised semantic parsers (Poon and Domingos, 2009) do not handle deeper linguistic phenomena such as quantification, negation, and superlatives."
342,Concit,J13-2005,"At the same time, representations such as FunQL (Kate et al., 2005), which was used in Clarke et al. (2010), are simpler but lack the full expressive power of lambda calculus."
343,Athar_2011,W06-1641,"A number of studies have investigated sentiment classification at document level, e.g., (Pang et al., 2002; Dave et al., 2003), and at sentence level, e.g., (Hu and Liu, 2004; Kim and Hovy, 2004; Nigam and Hurst, 2005); however, the accuracy is still less than desirable."
345,Concit,J04-3002,"A huge variety of words and phrases have subjective usages, and while some manually developed resources exist, such as dictionaries of affective language (General-Inquirer 2000; Heise 2000) and subjective features in general-purpose lexicons (e.g., the attitude adverb features in Comlex [Macleod, Grishman, and Meyers 1998]), there is no comprehensive dictionary of subjective language."
348,Concit,J04-3002,Agrawal et al. (2003) partition newsgroup authors into camps based on quotation links. They do not attempt to recognize subjective language.
349,Concit,W03-0404,"Our experimental results show that the subjectivity classifier performs well (77% recall with 81% precision) and that the learned nouns improved upon previous state-of-the-art subjectivity results (Wiebe et al., 1999)."
350,Concit,W04-3240,"Winograd suggested that research explicating the speech-act based “language-action perspective” on human communication could be used to build more useful tools for coordinating joint activities. The Coordinator (Winograd, 1987) was one such system, in which users augmented email messages with additional annotations indicating intent. While such systems have been useful in limited contexts, they have also been criticized as cumbersome: by forcing users to conform to a particular formal system, they constrain communication and make it less natural (Schoop, 2001)"
351,Concit,L10-1210,"An issue with using sentences or zones (Teufel et al., 1999) as the unit of annotation is that a single sentence may express several types of information or rhetorical functions, e.g., both an experimental method and the results of applying this method."
352,Concit,L10-1210,"Although Sanchez-Graillet & Poesio (2007) propose a multi-dimensional annotation scheme for protein-protein interaction events, including certainty, manner and direction, their reported corpus only contains one dimension of annotation, i.e., polarity."
353,Concit,L10-1210,"Polarity: Vincze et al. (2008) found that less than 14% sentences occurring in biomedical abstracts are negative. However, our event-centred view of negation showed that more than 19% of events belong to sentences containing some kind of negation, although only 7% of events were found to be negated."
354,Athar_2011,C08-1009,A potential caveat with Lins (1998) distributional similarity measure is its reliance on syntactic information for obtaining dependency relations.
356,Concit,N09-1057,"Hearst (1992) and Mulder et al. (2004) describe systems that make use of argument structure features coupled with lexical information, though neither provides implementation details or experimental results."
358,Concit,W09-3210,"Polanyi and Zaenen (2006) observe that a central topic may be divided into subtopics in order to perform evaluations. Similar to Somasun-daran et al. (2008), Asher et al. (2008) advocate a discourse-level analysis in order to get a deeper understanding of contextual polarity and the strength of opinions. However, these works do not provide an implementation for their insights."
360,Concit,W12-3201,"For example, the analysis illustrated in Figure 2 shows that the work of Ken Church (1988) on part-of-speech tagging received significant positive feedback during the 1990s and until early 2000s before it started to receive more negative feedback."
361,Concit,W12-3201,"Even though prior work (Teufel et al., 2006) argues that citation text is unsuitable for summarization, we show that in the framework of multi-document survey creation, citation texts can play a crucial role."
362,Concit,W12-3201,Our highest scores of 90.8% LP and 90.5% LR outperform the scores of the best previously published parser by Charniak (2000) who obtains 90.1% for both LP andLR.
363,Concit,N12-1009,The results show that all our methods outperform the baseline method AR-2011 that was proposed by Abu-Jbara and Radev (2011).
364,Concit,P05-1015,"Wilson, Wiebe, and Hwa (2004) used SVM regression to classify clause-level strength of opinion, reporting that it provided lower accuracy than other methods. However, independently of our work, Koppel and Schler (2005) found that applying linear regression to classify documents (in a different corpus than ours) with respect to a three-point rating scale provided greater accuracy than OVA SVMs and other algorithms."
365,Athar_2011,P05-3018,"Reported experiences of previous annotation projects suggest that guideline development is both an art and a science and is itself a time-consuming process (Litman and Pan, 2002; Marcus et al., 1993; Xia et al., 2000; Wiebe, 2002)."
367,Concit,W02-1011,"Interestingly, though, the superiority of presence information in comparison to frequency information in our setting contradicts previous observations made in topic-classification work (McCallum and Nigam, 1998)."
368,Concit,D09-1061,"Turney's (2002) work is perhaps one of the most notable examples of unsupervised polarity classification. However, while his system learns the semantic orientation of the phrases in a review in an unsupervised manner, this information is used to predict the polarity of a review heuristically."
371,DFKI,37469,"Whereas the more commonly applied Akaike Information Criterion ( ) requires the number of estimated parameters to be determined exactly, the DIC facilitates the evaluation of mixed-effects models by relaxing this requirement"
373,DFKI,46235,Clegg and Shepherd ( ) do not provide separate precision and recall numbers.
374,DFKI,08-1009,"Early experiments with syntactically-informed phrases ( ), and syntactic re-ranking of K-best lists ( ) produced mostly negative results."
376,Athar_2011,W05-0712,"A word based approach depends upon traditional statistical machine translation techniques such as IBM Model1 (Brown et al., 1993) and may not always yield satisfactory results due to its inability to handle difficult many-to-many phrase translations."
377,DFKI,08-1016,Early results using neural nets by Cairns et al. ( ) and Christiansen et al ( ) are discouraging.
378,DFKI,08-1017,"By incorporating this similarity function into the axiomatic retrieval models, we show that query expansion using the information from only WordNet can lead to significant improvement of retrieval performance, which has not been shown in the previous studies ( )"
379,DFKI,08-1021,"An approach combining a hand-crafted context-free grammar and stochastic probabilities is pursued in ( ), but it is designed for a restricted domain only."
380,DFKI,08-1022,"Even with the current incomplete set of semantic templates, the hypertagger brings realizer performance roughly up to state-of-the-art levels, as our overall test set BLEU score ( ) slightly exceeds that of Cahill and van Genabith ( ), though at a coverage of 96% instead of 98%."
384,DFKI,08-1026,"A range of formalisms from Underspecified DRT (Reyle, 1993) to dominance graphs (Althaus et al., 2003) have offered mechanisms to specify the “semantic material” of which the semantic representations are built up, plus dominance or outscoping relations between these building blocks. This has been a very successful approach, but recent algorithms for eliminating subsets of readings have pushed the expressive power of these formalisms to their limits; for instance, Koller and Thater (2006) speculate that further improvements over their (incomplete) redundancy elimination algorithm require a more expressive formalism than dominance graphs."
385,DFKI,08-1029,"Recent work using so-called meta-level priors to transfer information across tasks ( ), while related, does not take into explicit account the hierarchical structure of these meta-level features often found in NLP tasks."
386,DFKI,08-1043,"Morphological segmentation decisions in our model are delegated to a lexeme-based PCFG and we show that using a simple treebank grammar, a data-driven lexicon, and a linguistically motivated unknown-tokens handling our model outperforms ( ) and ( ) on the joint task and achieves state-of-the-art results on a par with current respective standalone models."
387,Athar_2011,J00-2004,"A word order correlation bias, as well as the phrase structure biases in Brown et al.'s (1993b) Models 4 and 5, would be less beneficial with noisier training bitexts or for language pairs with less similar word order."
388,DFKI,08-1043,"Such resources exist for Hebrew ( ), but unfortunately use a tagging scheme which is incompatible with the one of the Hebrew Treebank."
389,DFKI,08-1043,"The development of the very first Hebrew Tree-bank ( ) called for the exploration of general statistical parsing methods, but the application was at first limited."
390,DFKI,08-1049,"While the research in statistical machine translation (SMT) has made significant progress, most SMT systems ( ) rely on parallel corpora to extract translation entries."
391,DFKI,08-1050,"Although dependency relations have been widely used in automatic acquisition of lexical information, such as detection of polysemy ( ) and WSD ( ), their utility in AVC still remains untested."
392,DFKI,07-1003,"However, few of these methods have explicitly addressed the tension between word alignments and the syntactic processes that employ them ( )."
